L1_Category,L2_Category,product_name,sku,GMV,Gross_Items,Gross_Orders,NMV,Net_items,NetOrders
Pharmacy,Pink Eye,Dettol Antibacterial Handwash | Original - 150ml,6.00E+12,2065,7,7,1475,5,5
Pharmacy,Pink Eye,Siena Hand Sanitizer | Fresh - 60ml,8.96E+12,135,1,1,135,1,1
Pharmacy,Pink Eye,Dettol Antibacterial Skincare Soap - 115gm,6.00E+12,1200,8,7,1050,7,6
Pharmacy,Pink Eye,Dettol Antibacterial Handwash | Original - 250ml,6.00E+12,790,2,2,395,1,1
Pharmacy,Pink Eye,Dettol Antiseptic Liquid - 100ml,6.00E+12,385,1,1,0,0,0
Pharmacy,Pink Eye,Dettol Antibacterial Hand Sanitizer | Original - 50ml,8.96E+12,1000,4,4,1000,4,4
Pharmacy,Pink Eye,Dettol Antibacterial Original Soap - 115gm,6.00E+12,3600,24,16,2700,18,13
Pharmacy,Pink Eye,Al Khair Rose Water Spray - 120ml,8.95E+11,460,2,2,230,1,1
Pharmacy,Pink Eye,Hemani Rose Water Facial Spray - 120ml,8.96E+12,798.2,3,3,532,2,2
Pharmacy,Pink Eye,Dettol Liquid Handwash Pouch | Skin Care - 150ml,6.00E+12,860,4,4,645,3,3
Pharmacy,Pink Eye,Dettol Antibacterial Hand Sanitizer | Original - 50ml,8.96E+12,750,3,3,750,3,3
Pharmacy,Pink Eye,Dettol Antiseptic Liquid - 500ml,8.96E+12,1275,1,1,1275,1,1
Pharmacy,Pink Eye,Dettol Antiseptic Liquid - 50ml,6.00E+12,2115,9,9,1645,7,7
Personal Care,Bodywash & Shower Gel,Nivea Deep Shower Gel for Men | Woody Scent - 250ml,4.01E+12,2910,4,4,2160,3,3
Personal Care,Handwash & Sanitizers,Lifebuoy Total 10 Handwash - 200ml,8.96E+12,6940,32,24,6720,31,23
Personal Care,Bodywash & Shower Gel,Imperial Leather Shower Gel (Revitalising) - 400ml,5.00E+12,399,1,1,399,1,1
